id,pir,name,ceased,taxNumber,kshNumber,ahtiNumber,ohNumber,address,excName,excDate
95296,345022,10. SZ. ÁLTALÁNOS ISKOLA,,15345022104,15345022852032204,,028259,5600 Békéscsaba Kazinczy utca 8 ,Sári József,2009-08-01
101179,608705,10.SZ. NAPKÖZIOTTHONOS ÓVODA,,,16728846801032209,,,4100 Berettyóújfalu József Attila utca 25-27 ,Szénási Tiborné,2003-08-01
100516,601179,10. SZ. ÓVODA,,,16730270801032209,,,4220 Hajdúböszörmény Désány I. utca 11 ,Oláh Emődné,1999-08-01
98082,472504,10. SZ. PETŐFI SÁNDOR ÁLTALÁNOS ÉS MAGYAR-ANGOL KÉT TANITÁSI NYELVŰ ISKOLA,,15472504205,15472504852032205,,028956,3526 Miskolc Katowice utca 17 ,Varga Ferencné,2012-08-01
100732,603382,11. SZ. ÁLTALÁNOS ISKOLA,,,16654969801032204,,,5600 Békéscsaba Rózsa utca 21-23 ,Szloszjár Györgyné,2000-08-01
102112,618038,13.SZ. ÁLTALÁNOS ISKOLA,,,16819515801032215,,,4400 Nyíregyháza Huszár tér 5 ,Kozma Istvánné,2002-08-01
98084,472537,13. SZ. HUNYADI MÁTYÁS ÁLTALÁNOS ISKOLA,,,15472535801032205,,,3525 Miskolc Mátyás király utca 21 ,,
100694,603007,17. SZÁMÚ NAPKÖZIOTTHONOS ÓVODA,,,16695306801032207,,,2400 Dunaújváros Pajtás utca 2 ,,
97671,441399,1.SZ. ÁLTALÁNOS ISKOLA,,15441393213,15441393852032213,,037737,2040 Budaörs Hársfa utca 29 ,Simsik Zsuzsanna,2011-08-01
95315,345374,1. SZÁMÚ ÁLTALÁNOS ISKOLA,,15345376204,15345376801032204,,,5650 Mezőberény Luther tér 1 ,Siklósi István,2002-09-01
106607,685995,1. SZÁMÚ ÁLTALÁNOS ISKOLA,,16935176113,16935176852032213,,037767,2440 Százhalombatta Damjanich utca 24 ,Zentai Gáborné,2010-08-01
104619,655754,1. SZÁMÚ KATICABOGÁR ÓVODA,,,16805842851032214,,,8600 Siófok Bókay János utca 2/A ,Koller Árpádné,2003-08-01
101640,613318,1. SZÁMÚ ÓVODA,,,16701212801032207,,,2060 Bicske József Attila utca 9 ,,
102542,622336,1.SZÁMÚ ÓVODA,,,16696668801032207,,,2483 Gárdony Posta utca 20 ,,
101757,614481,1. SZ. BÖLCSÖDE,,,16799761853232213,,,2440 Százhalombatta Liszt Ferenc sétány 6 ,,
101314,610054,1.SZ. BÖLCSÖDE HATVAN,,,16747207853232210,,,3000 Hatvan Pázsit utca 41 ,Miklós Józsefné,2003-01-01
106441,683672,1. SZ. EGYESÍTETT ÓVODA,,,16916636851032201,,,1221 Budapest Leányka utca 40 ,,
98591,518246,1.SZ. ETALONSPORT ÁLTALÁNOS ÉS SPORTISKOLA PESTSZENTLŐRINC,,15518242243,15518242801032201,,,1186 Budapest Tövishát utca 8 ,,
106008,677138,1. SZ. FŐVÁROSI TANULÁSI KÉPESSÉGET VIZSGÁLÓ SZAKÉRTŐI ÉS REHABILITÁCIÓS BIZOTTSÁG,,16923405143,16923405856032201,,101876,1119 Budapest Rácz László utca 73 ,Puhala Ildikó,2008-08-16
101774,614656,1. SZ. IDŐSEK KLUBJA,,,16747104853232210,,,3390 Füzesabony Honvéd út 21 ,Méhi Béláné,2002-08-01
101175,608662,1. SZ. NAPKÖZIOTTHONOS ÓVODA,,,16725032801032209,,,4100 Berettyóújfalu Vass J. utca 8 ,Kovács Béláné,2003-08-01
100642,602462,1.SZ. NAPKÖZIOTTHONOS ÓVODA,,,16729483801032209,,,4200 Hajdúszoboszló Attila utca 51/B ,Szabó Zoltánné,2003-09-01
102572,622633,1. SZ. ÓVODA,,,16730201801032209,,,4220 Hajdúböszörmény Kálvineum utca 12 ,Nagy Sándorné,2002-08-01
96111,376369,1.SZ. OVODAIGAZGATOSÁG,,15376367109,15376367801032209,,,4060 Balmazújváros Vörösmarty utca 1/A ,Hüse Lajosné,2002-08-01
102677,623685,1.SZ.OVODA MEZÖTUR,,16836022116,16836022801032216,,,5400 Mezőtúr Földvári út 61 ,,
100695,603018,20. SZÁMÚ NAPKÖZIOTTHONOS ÓVODA,,,16695313801032207,,,2400 Dunaújváros Batsányi utca 2-4 ,,
98089,472614,21. SZ. ÁLTALÁNOS ISKOLA,,15472614205,15472614852032205,,028965,3535 Miskolc Tóth Á. utca 12 ,Nagy Varga Dezsőné,2012-08-31
